%  columns=["iteration, evaluation, sigma, void, void, stds==sigma*sqrt(diag(C))" (startseed=210463, 2022/07/14 11:16:34.63)
142 1137 1.979485e+02 0 0 9.771636e-01 2.344591e+00 7.588853e-02 1.480780e-01 
143 1145 1.796254e+02 0 0 8.537964e-01 2.138825e+00 6.678698e-02 1.305488e-01 
144 1153 1.370222e+02 0 0 6.155110e-01 1.559662e+00 4.875646e-02 9.432062e-02 
145 1161 1.391463e+02 0 0 6.440537e-01 1.606786e+00 5.028081e-02 9.063956e-02 
146 1169 1.470181e+02 0 0 7.085806e-01 1.719932e+00 5.410516e-02 9.087857e-02 
147 1177 1.278189e+02 0 0 6.009292e-01 1.428195e+00 5.009035e-02 7.672682e-02 
148 1185 1.237739e+02 0 0 5.603390e-01 1.458963e+00 4.587722e-02 7.360436e-02 
149 1193 1.265402e+02 0 0 5.893209e-01 1.437406e+00 4.549796e-02 7.116051e-02 
150 1201 1.190757e+02 0 0 5.317487e-01 1.307102e+00 4.142460e-02 6.342312e-02 
151 1209 1.099805e+02 0 0 4.626664e-01 1.162446e+00 3.603829e-02 5.698426e-02 
152 1217 9.046098e+01 0 0 3.594074e-01 9.014582e-01 2.944110e-02 4.444241e-02 
153 1225 8.506729e+01 0 0 3.457946e-01 8.584792e-01 2.854468e-02 4.042041e-02 
154 1233 7.755729e+01 0 0 2.988012e-01 7.707355e-01 2.506763e-02 3.586768e-02 
155 1241 6.464146e+01 0 0 2.365288e-01 6.210399e-01 2.002221e-02 2.816467e-02 
156 1249 6.469789e+01 0 0 2.296091e-01 5.935886e-01 1.963573e-02 2.707937e-02 
157 1257 6.402781e+01 0 0 2.192965e-01 5.744297e-01 1.847391e-02 2.564960e-02 
158 1265 7.422987e+01 0 0 2.456067e-01 7.429910e-01 2.062182e-02 2.868222e-02 
159 1273 7.878219e+01 0 0 2.501283e-01 7.975832e-01 2.084203e-02 2.936917e-02 
160 1281 8.168587e+01 0 0 2.535694e-01 7.956633e-01 2.344318e-02 2.871351e-02 
161 1289 8.059215e+01 0 0 2.464964e-01 7.723819e-01 2.270533e-02 2.666902e-02 
162 1297 7.986125e+01 0 0 2.396524e-01 7.534287e-01 2.145888e-02 2.486047e-02 
163 1305 7.147605e+01 0 0 2.093906e-01 6.449015e-01 1.862586e-02 2.103794e-02 
164 1313 5.690873e+01 0 0 1.629093e-01 5.016352e-01 1.437071e-02 1.583288e-02 
165 1321 4.994495e+01 0 0 1.369191e-01 4.323066e-01 1.209699e-02 1.313372e-02 
166 1329 4.389696e+01 0 0 1.138852e-01 3.702940e-01 1.022662e-02 1.096694e-02 
167 1337 4.173490e+01 0 0 1.057291e-01 3.594118e-01 9.824416e-03 1.005404e-02 
168 1345 4.425288e+01 0 0 1.064631e-01 3.643428e-01 1.172897e-02 1.040477e-02 
169 1353 3.593171e+01 0 0 8.251669e-02 2.805438e-01 9.788741e-03 8.027135e-03 
170 1361 2.976341e+01 0 0 6.494379e-02 2.281968e-01 7.824774e-03 6.301578e-03 
171 1369 2.795192e+01 0 0 5.876396e-02 2.029341e-01 7.239683e-03 5.837036e-03 
172 1377 2.630096e+01 0 0 5.338964e-02 1.881621e-01 6.513678e-03 5.209752e-03 
173 1385 2.537638e+01 0 0 5.279710e-02 1.804237e-01 5.937757e-03 4.784432e-03 
174 1393 2.404261e+01 0 0 4.790018e-02 1.662212e-01 5.418365e-03 4.449440e-03 
175 1401 2.208881e+01 0 0 4.155785e-02 1.456425e-01 5.063496e-03 3.903276e-03 
176 1409 1.981346e+01 0 0 3.536973e-02 1.236735e-01 4.483192e-03 3.422730e-03 
177 1417 1.665097e+01 0 0 2.845012e-02 9.814661e-02 3.650036e-03 2.783921e-03 
178 1425 1.643560e+01 0 0 2.719269e-02 9.387169e-02 3.864382e-03 2.602754e-03 
179 1433 1.600920e+01 0 0 2.703782e-02 8.666205e-02 3.564511e-03 2.490281e-03 
180 1441 1.553149e+01 0 0 2.491673e-02 8.196708e-02 3.621729e-03 2.365532e-03 
181 1449 1.384795e+01 0 0 2.116722e-02 7.094111e-02 3.108331e-03 2.013253e-03 
182 1457 1.136725e+01 0 0 1.665389e-02 5.483462e-02 2.472801e-03 1.604110e-03 
183 1465 1.252152e+01 0 0 1.773169e-02 5.891511e-02 3.165583e-03 1.692481e-03 
184 1473 1.119686e+01 0 0 1.560736e-02 5.043550e-02 2.734747e-03 1.433824e-03 
185 1481 9.819180e+00 0 0 1.380262e-02 4.323683e-02 2.396078e-03 1.211609e-03 
186 1489 9.230356e+00 0 0 1.281142e-02 3.975948e-02 2.268734e-03 1.075490e-03 
187 1497 8.181499e+00 0 0 1.096676e-02 3.399884e-02 1.967385e-03 8.976365e-04 
188 1505 7.017307e+00 0 0 8.981237e-03 2.813013e-02 1.633320e-03 7.279277e-04 
189 1513 6.302253e+00 0 0 7.646283e-03 2.500136e-02 1.407318e-03 6.276111e-04 
190 1521 5.522630e+00 0 0 6.361986e-03 2.196028e-02 1.216058e-03 5.200609e-04 
191 1529 5.081236e+00 0 0 5.632762e-03 1.908089e-02 1.128027e-03 4.562477e-04 
192 1537 5.093643e+00 0 0 6.052954e-03 1.875598e-02 1.081225e-03 4.370035e-04 
193 1545 4.724811e+00 0 0 5.525402e-03 1.666805e-02 9.948624e-04 3.837851e-04 
194 1553 3.550572e+00 0 0 3.928341e-03 1.181967e-02 7.051835e-04 2.737458e-04 
195 1561 3.188593e+00 0 0 3.348220e-03 1.065378e-02 6.212831e-04 2.343845e-04 
196 1569 2.554252e+00 0 0 2.533669e-03 8.067004e-03 4.716076e-04 1.797167e-04 
197 1577 2.312901e+00 0 0 2.306301e-03 7.011458e-03 4.056312e-04 1.545933e-04 
198 1585 2.009042e+00 0 0 1.946331e-03 5.745145e-03 3.401992e-04 1.275110e-04 
199 1593 1.910943e+00 0 0 1.819487e-03 5.159747e-03 3.205203e-04 1.164818e-04 
200 1601 1.933183e+00 0 0 1.870199e-03 5.321104e-03 3.337287e-04 1.123877e-04 
201 1609 1.967755e+00 0 0 1.809191e-03 5.692301e-03 3.528277e-04 1.082009e-04 
202 1617 2.019335e+00 0 0 1.772728e-03 5.558192e-03 3.837559e-04 1.049046e-04 
203 1625 1.787016e+00 0 0 1.485990e-03 4.653465e-03 3.222964e-04 9.355396e-05 
204 1633 1.455795e+00 0 0 1.163959e-03 3.567889e-03 2.508873e-04 7.208454e-05 
205 1641 1.276405e+00 0 0 9.611081e-04 2.996101e-03 2.081733e-04 6.322929e-05 
206 1649 1.143872e+00 0 0 8.764744e-04 2.600892e-03 1.868193e-04 5.351830e-05 
207 1657 1.017305e+00 0 0 7.450611e-04 2.198671e-03 1.665048e-04 4.520754e-05 
208 1665 9.676172e-01 0 0 6.890130e-04 2.011955e-03 1.570511e-04 4.218949e-05 
209 1673 8.139744e-01 0 0 5.556300e-04 1.606233e-03 1.247025e-04 3.470939e-05 
210 1681 6.956196e-01 0 0 4.605313e-04 1.343653e-03 1.057199e-04 2.836094e-05 
211 1689 5.556659e-01 0 0 3.476525e-04 1.017683e-03 8.013900e-05 2.179558e-05 
212 1697 5.708541e-01 0 0 3.427589e-04 1.153351e-03 8.370999e-05 2.244290e-05 
213 1705 5.297464e-01 0 0 3.057300e-04 1.026288e-03 7.795088e-05 1.983617e-05 
