%  columns="iteration, evaluation, void, void, void, xmean" (startseed=210463, 2022/07/14 11:16:34.63)
216 1729 0 0 0 3.648545e+01 2.176702e+02 9.062591e-01 1.572243e-02 
217 1737 0 0 0 3.648542e+01 2.176700e+02 9.062779e-01 1.572725e-02 
218 1745 0 0 0 3.648550e+01 2.176698e+02 9.062663e-01 1.572987e-02 
219 1753 0 0 0 3.648540e+01 2.176702e+02 9.062933e-01 1.573080e-02 
220 1761 0 0 0 3.648545e+01 2.176702e+02 9.062658e-01 1.572181e-02 
221 1769 0 0 0 3.648552e+01 2.176702e+02 9.062565e-01 1.572175e-02 
222 1777 0 0 0 3.648548e+01 2.176701e+02 9.062623e-01 1.571980e-02 
223 1785 0 0 0 3.648549e+01 2.176701e+02 9.062489e-01 1.571979e-02 
224 1793 0 0 0 3.648553e+01 2.176702e+02 9.062542e-01 1.571865e-02 
225 1801 0 0 0 3.648553e+01 2.176702e+02 9.062525e-01 1.572111e-02 
226 1809 0 0 0 3.648554e+01 2.176702e+02 9.062467e-01 1.571967e-02 
227 1817 0 0 0 3.648552e+01 2.176702e+02 9.062558e-01 1.571975e-02 
228 1825 0 0 0 3.648550e+01 2.176703e+02 9.062603e-01 1.571915e-02 
229 1833 0 0 0 3.648552e+01 2.176703e+02 9.062621e-01 1.572091e-02 
230 1841 0 0 0 3.648551e+01 2.176703e+02 9.062632e-01 1.571956e-02 
231 1849 0 0 0 3.648552e+01 2.176703e+02 9.062638e-01 1.572005e-02 
232 1857 0 0 0 3.648552e+01 2.176702e+02 9.062598e-01 1.572044e-02 
233 1865 0 0 0 3.648552e+01 2.176702e+02 9.062603e-01 1.572037e-02 
234 1873 0 0 0 3.648551e+01 2.176703e+02 9.062624e-01 1.572086e-02 
235 1881 0 0 0 3.648553e+01 2.176702e+02 9.062610e-01 1.572041e-02 
236 1889 0 0 0 3.648552e+01 2.176702e+02 9.062612e-01 1.572071e-02 
237 1897 0 0 0 3.648552e+01 2.176702e+02 9.062622e-01 1.572035e-02 
238 1905 0 0 0 3.648552e+01 2.176703e+02 9.062610e-01 1.572040e-02 
239 1913 0 0 0 3.648551e+01 2.176703e+02 9.062606e-01 1.572018e-02 
240 1921 0 0 0 3.648552e+01 2.176703e+02 9.062609e-01 1.572055e-02 
241 1929 0 0 0 3.648552e+01 2.176703e+02 9.062600e-01 1.572060e-02 
242 1937 0 0 0 3.648552e+01 2.176703e+02 9.062613e-01 1.572052e-02 
243 1945 0 0 0 3.648551e+01 2.176703e+02 9.062613e-01 1.572043e-02 
244 1953 0 0 0 3.648551e+01 2.176703e+02 9.062619e-01 1.572059e-02 
245 1961 0 0 0 3.648552e+01 2.176703e+02 9.062616e-01 1.572048e-02 
246 1969 0 0 0 3.648552e+01 2.176703e+02 9.062616e-01 1.572061e-02 
247 1977 0 0 0 3.648552e+01 2.176703e+02 9.062618e-01 1.572046e-02 
248 1985 0 0 0 3.648552e+01 2.176703e+02 9.062620e-01 1.572039e-02 
249 1993 0 0 0 3.648551e+01 2.176703e+02 9.062626e-01 1.572047e-02 
250 2001 0 0 0 3.648551e+01 2.176703e+02 9.062628e-01 1.572046e-02 
251 2009 0 0 0 3.648551e+01 2.176703e+02 9.062626e-01 1.572049e-02 
252 2017 0 0 0 3.648551e+01 2.176703e+02 9.062623e-01 1.572049e-02 
253 2025 0 0 0 3.648552e+01 2.176703e+02 9.062621e-01 1.572049e-02 
254 2033 0 0 0 3.648552e+01 2.176703e+02 9.062619e-01 1.572053e-02 
255 2041 0 0 0 3.648552e+01 2.176703e+02 9.062620e-01 1.572050e-02 
256 2049 0 0 0 3.648551e+01 2.176703e+02 9.062621e-01 1.572048e-02 
257 2057 0 0 0 3.648552e+01 2.176703e+02 9.062621e-01 1.572049e-02 
258 2065 0 0 0 3.648552e+01 2.176703e+02 9.062623e-01 1.572048e-02 
259 2073 0 0 0 3.648552e+01 2.176703e+02 9.062623e-01 1.572048e-02 
260 2081 0 0 0 3.648552e+01 2.176703e+02 9.062622e-01 1.572049e-02 
261 2089 0 0 0 3.648552e+01 2.176703e+02 9.062621e-01 1.572049e-02 
262 2097 0 0 0 3.648552e+01 2.176703e+02 9.062622e-01 1.572048e-02 
263 2105 0 0 0 3.648551e+01 2.176703e+02 9.062621e-01 1.572049e-02 
264 2113 0 0 0 3.648552e+01 2.176703e+02 9.062620e-01 1.572049e-02 
265 2121 0 0 0 3.648551e+01 2.176703e+02 9.062621e-01 1.572048e-02 
266 2129 0 0 0 3.648552e+01 2.176703e+02 9.062620e-01 1.572049e-02 
267 2137 0 0 0 3.648551e+01 2.176703e+02 9.062621e-01 1.572048e-02 
268 2145 0 0 0 3.648552e+01 2.176703e+02 9.062621e-01 1.572049e-02 
269 2153 0 0 0 3.648552e+01 2.176703e+02 9.062621e-01 1.572049e-02 
270 2161 0 0 0 3.648552e+01 2.176703e+02 9.062620e-01 1.572049e-02 
271 2169 0 0 0 3.648552e+01 2.176703e+02 9.062620e-01 1.572049e-02 
272 2177 0 0 0 3.648552e+01 2.176703e+02 9.062620e-01 1.572049e-02 
273 2185 0 0 0 3.648552e+01 2.176703e+02 9.062620e-01 1.572049e-02 
274 2193 0 0 0 3.648552e+01 2.176703e+02 9.062619e-01 1.572048e-02 
275 2201 0 0 0 3.648552e+01 2.176703e+02 9.062619e-01 1.572048e-02 
276 2209 0 0 0 3.648552e+01 2.176703e+02 9.062620e-01 1.572048e-02 
277 2217 0 0 0 3.648552e+01 2.176703e+02 9.062620e-01 1.572048e-02 
278 2225 0 0 0 3.648552e+01 2.176703e+02 9.062620e-01 1.572048e-02 
279 2233 0 0 0 3.648552e+01 2.176703e+02 9.062620e-01 1.572048e-02 
1 2251 0 0 0 4.737124e+01 2.276646e+02 8.646733e-01 1.037355e+00 
2 2267 0 0 0 5.163870e+01 2.180768e+02 7.667430e-01 8.199992e-01 
3 2283 0 0 0 4.426348e+01 2.340373e+02 8.425594e-01 8.544221e-01 
4 2299 0 0 0 4.026769e+01 2.227206e+02 9.376964e-01 8.502315e-01 
5 2315 0 0 0 4.122518e+01 2.213064e+02 8.938181e-01 8.028428e-01 
