%  columns="iteration, evaluation, fitness, void, void, xrecentbest" (startseed=210463, 2022/07/14 11:16:34.63)
19 153  1.778694337146864086e+02 0 0 3.551889e+01 2.060465e+02 2.887041e-01 6.818947e-01 
20 161  1.652627302277630577e+02 0 0 3.444120e+01 2.121636e+02 2.489998e-01 7.192035e-01 
21 169  1.617452765375048500e+02 0 0 3.827759e+01 2.088356e+02 1.939198e-01 6.365135e-01 
22 177  1.848312643254878367e+02 0 0 3.925884e+01 2.036839e+02 2.735915e-01 6.654772e-01 
23 185  1.515538630033241532e+02 0 0 3.679747e+01 2.132830e+02 3.225289e-01 6.963970e-01 
24 193  1.531732344521315099e+02 0 0 3.638030e+01 2.091797e+02 3.881699e-01 6.681642e-01 
25 201  1.516735615729501774e+02 0 0 3.570229e+01 2.117645e+02 3.435449e-01 6.712092e-01 
26 209  1.570711648107345297e+02 0 0 3.523192e+01 2.160972e+02 3.900705e-01 6.916296e-01 
27 217  1.559842586442097456e+02 0 0 3.616419e+01 2.159613e+02 3.632271e-01 6.745341e-01 
28 225  1.492669239348220458e+02 0 0 3.646275e+01 2.110998e+02 3.729307e-01 6.786253e-01 
29 233  1.510782999604251984e+02 0 0 3.659228e+01 2.134712e+02 3.274106e-01 6.864119e-01 
30 241  1.498652439221330326e+02 0 0 3.641030e+01 2.127357e+02 3.327565e-01 6.837073e-01 
31 249  1.517546434922649325e+02 0 0 3.575610e+01 2.133674e+02 3.137801e-01 6.734112e-01 
32 257  1.513732914229372852e+02 0 0 3.596511e+01 2.122691e+02 2.950751e-01 6.856615e-01 
33 265  1.509518829426905882e+02 0 0 3.686201e+01 2.108637e+02 3.025335e-01 6.845830e-01 
34 273  1.508998286263337718e+02 0 0 3.632736e+01 2.127548e+02 2.901692e-01 6.779149e-01 
35 281  1.507499953518540963e+02 0 0 3.658218e+01 2.121266e+02 2.876226e-01 6.836842e-01 
36 289  1.503048280352359143e+02 0 0 3.653106e+01 2.116778e+02 3.042848e-01 6.813893e-01 
37 297  1.503535226246292495e+02 0 0 3.636221e+01 2.120387e+02 3.051025e-01 6.849752e-01 
38 305  1.504384698824856628e+02 0 0 3.654832e+01 2.120540e+02 2.992187e-01 6.843179e-01 
39 313  1.505498746949542976e+02 0 0 3.673439e+01 2.113167e+02 3.035792e-01 6.855592e-01 
40 321  1.502424436497184956e+02 0 0 3.643436e+01 2.116290e+02 3.115509e-01 6.849201e-01 
41 329  1.503341469964703663e+02 0 0 3.656999e+01 2.113983e+02 3.076537e-01 6.817205e-01 
42 337  1.502579888472938592e+02 0 0 3.661886e+01 2.121719e+02 3.085372e-01 6.816331e-01 
43 345  1.503188149406676644e+02 0 0 3.676357e+01 2.118915e+02 3.125940e-01 6.865582e-01 
44 353  1.499724132667780054e+02 0 0 3.649957e+01 2.120362e+02 3.192327e-01 6.859851e-01 
45 361  1.498097470761171621e+02 0 0 3.645176e+01 2.119683e+02 3.282376e-01 6.889197e-01 
46 369  1.498635984893639375e+02 0 0 3.642302e+01 2.125216e+02 3.304811e-01 6.889478e-01 
47 377  1.492987373791352752e+02 0 0 3.656941e+01 2.119187e+02 3.494897e-01 6.865742e-01 
48 385  1.494456674315348437e+02 0 0 3.669315e+01 2.111040e+02 3.617256e-01 6.877531e-01 
49 393  1.488360324788358184e+02 0 0 3.631914e+01 2.119070e+02 3.812886e-01 6.920569e-01 
50 401  1.492364726311677714e+02 0 0 3.620440e+01 2.116878e+02 3.773596e-01 6.889392e-01 
51 409  1.490517590418995724e+02 0 0 3.618267e+01 2.128595e+02 3.838751e-01 6.983788e-01 
52 417  1.483296873888224638e+02 0 0 3.627562e+01 2.133953e+02 4.298918e-01 7.008447e-01 
53 425  1.480496881790442671e+02 0 0 3.614486e+01 2.128653e+02 4.364679e-01 7.053603e-01 
54 433  1.469810229873213530e+02 0 0 3.621785e+01 2.125197e+02 4.767355e-01 6.982425e-01 
55 441  1.463449692613960451e+02 0 0 3.604010e+01 2.125908e+02 5.325558e-01 7.001621e-01 
56 449  1.453902042244212680e+02 0 0 3.684142e+01 2.123324e+02 5.784765e-01 7.172663e-01 
57 457  1.445687050319084790e+02 0 0 3.638646e+01 2.135274e+02 6.233834e-01 7.137623e-01 
58 465  1.438969128346426203e+02 0 0 3.680733e+01 2.120809e+02 6.613827e-01 7.140924e-01 
59 473  1.432201369530820898e+02 0 0 3.661090e+01 2.139604e+02 7.490321e-01 7.342640e-01 
60 481  1.423529018577188481e+02 0 0 3.628563e+01 2.115870e+02 8.662671e-01 7.419817e-01 
61 489  1.407905289877469670e+02 0 0 3.633093e+01 2.140978e+02 9.086354e-01 7.483675e-01 
62 497  1.398614619229780089e+02 0 0 3.661046e+01 2.142568e+02 1.046010e+00 7.537553e-01 
63 505  1.415865257058090947e+02 0 0 3.588545e+01 2.154480e+02 1.023392e+00 7.551032e-01 
64 513  1.405649367987180938e+02 0 0 3.662278e+01 2.146620e+02 9.919819e-01 7.569541e-01 
65 521  1.399755975186483568e+02 0 0 3.666410e+01 2.144222e+02 1.041160e+00 7.454404e-01 
66 529  1.408243259556348619e+02 0 0 3.662291e+01 2.136867e+02 8.884227e-01 7.414532e-01 
67 537  1.393295227687614499e+02 0 0 3.664770e+01 2.129443e+02 1.002985e+00 7.526103e-01 
68 545  1.395388829145056206e+02 0 0 3.677597e+01 2.132844e+02 1.067852e+00 7.552793e-01 
69 553  1.394693482489451526e+02 0 0 3.643553e+01 2.131761e+02 1.015379e+00 7.639009e-01 
70 561  1.399640983426357650e+02 0 0 3.647262e+01 2.136949e+02 9.383294e-01 7.403003e-01 
71 569  1.392987461978838439e+02 0 0 3.655057e+01 2.128296e+02 9.959508e-01 7.473054e-01 
