%  columns="iteration, evaluation, sigma, axis ratio, bestever, best, median, worst fitness function value, further objective values of best" (startseed=210463, 2022/07/14 11:16:34.63)
31 249 8.292977e+00 3.130505e+02  1.492669239348220458e+02  1.517546434922649325e+02  1.568641384081920478e+02  1.626564319131689444e+02
32 257 8.137876e+00 3.055221e+02  1.492669239348220458e+02  1.513732914229372852e+02  1.540755799182739452e+02  1.623324960992868569e+02
33 265 7.492353e+00 3.113944e+02  1.492669239348220458e+02  1.509518829426905882e+02  1.561788107818532012e+02  1.603950574954942283e+02
34 273 6.910304e+00 3.129450e+02  1.492669239348220458e+02  1.508998286263337718e+02  1.519385378384736214e+02  1.618851207407012680e+02
35 281 5.740350e+00 3.082361e+02  1.492669239348220458e+02  1.507499953518540963e+02  1.544330609821327869e+02  1.560234883473196703e+02
36 289 5.253852e+00 3.029848e+02  1.492669239348220458e+02  1.503048280352359143e+02  1.519585709578243211e+02  1.557165222683342165e+02
37 297 4.704466e+00 3.018644e+02  1.492669239348220458e+02  1.503535226246292495e+02  1.509111772228818040e+02  1.520940396046194110e+02
38 305 4.111395e+00 2.995693e+02  1.492669239348220458e+02  1.504384698824856628e+02  1.517866272660066329e+02  1.541726893873504594e+02
39 313 3.345234e+00 2.906881e+02  1.492669239348220458e+02  1.505498746949542976e+02  1.513525233620026142e+02  1.517714167397023743e+02
40 321 3.183245e+00 2.969637e+02  1.492669239348220458e+02  1.502424436497184956e+02  1.508066455986285632e+02  1.520607504288134066e+02
41 329 3.120553e+00 2.762723e+02  1.492669239348220458e+02  1.503341469964703663e+02  1.504692913664690934e+02  1.506025412068112246e+02
42 337 3.127842e+00 2.761088e+02  1.492669239348220458e+02  1.502579888472938592e+02  1.506740296561005721e+02  1.518941585394805145e+02
43 345 3.328444e+00 2.611369e+02  1.492669239348220458e+02  1.503188149406676644e+02  1.506591852650635133e+02  1.510077404857210297e+02
44 353 3.482956e+00 2.534657e+02  1.492669239348220458e+02  1.499724132667780054e+02  1.502705959144150825e+02  1.508680907797999566e+02
45 361 4.336041e+00 2.427926e+02  1.492669239348220458e+02  1.498097470761171621e+02  1.503074857517094927e+02  1.508971653012932563e+02
46 369 4.486756e+00 2.506148e+02  1.492669239348220458e+02  1.498635984893639375e+02  1.501656113817464870e+02  1.504975495472262423e+02
47 377 5.230684e+00 2.377405e+02  1.492669239348220458e+02  1.492987373791352752e+02  1.500116296770132749e+02  1.509393623164711471e+02
48 385 5.970117e+00 2.460794e+02  1.492669239348220458e+02  1.494456674315348437e+02  1.501116159750046393e+02  1.503915586906420003e+02
49 393 6.370285e+00 2.415885e+02  1.488360324788358184e+02  1.488360324788358184e+02  1.494546147635348348e+02  1.503925448099074345e+02
50 401 5.852484e+00 2.374178e+02  1.488360324788358184e+02  1.492364726311677714e+02  1.498548289286920863e+02  1.506645505535408915e+02
51 409 5.609764e+00 2.345089e+02  1.488360324788358184e+02  1.490517590418995724e+02  1.498615711769451195e+02  1.512057839361581273e+02
52 417 7.099198e+00 2.367855e+02  1.483296873888224638e+02  1.483296873888224638e+02  1.494079021515711929e+02  1.501996015749774358e+02
53 425 7.547905e+00 2.352006e+02  1.480496881790442671e+02  1.480496881790442671e+02  1.493277519791918735e+02  1.522590910612224775e+02
